ID,Version,Conclusion,ConclusionConfidence,ConclusionACC,MagicNumber.SelfReport,EqualSpacing.SelfReport,SupportingPlot.33dataACC,SupportingPlot.33data.Confidence,RefutingPlot.33dataACC,RefutingPlot.33data.Confidence,SupportingPlot.220dataACC,SupportingPlot.220data.Confidence,RefutingPlot.220dataACC,RefutingPlot.220data.Confidence,Age,Gender,Iteration,Familiar,GeoIdentity,Bachelors,YearsUG,MajorUG,MinorUG,YearsPractice,GeoSpecialization,AcademicPosition
1594214792295.json,Alternative,Hypothesis Not Supported,Very confident in my conclusion,Correct,1,1,1,Very confident in this conclusion,0,Slightly confident in this conclusion,1,Very confident in this conclusion,0,Very confident in this conclusion,30,female,2,0,"",1,"","","",8,"",""
1594390983351.json,Null,Hypothesis Supported,Moderately confident in my conclusion,Correct,1,1,1,Moderately confident in this conclusion,1,Moderately confident in this conclusion,1,Moderately confident in this conclusion,1,Moderately confident in this conclusion,24,female,2,0,Field Geoscientist,1,"","","",3,Geomorphology and Geochronology,Federal Government
1594667245382.json,Alternative,Hypothesis Not Supported,Moderately confident in my conclusion,Correct,1,1,1,Moderately confident in this conclusion,0,Moderately confident in this conclusion,1,Moderately confident in this conclusion,0,Moderately confident in this conclusion,30,female,2,0,Field Geoscientist,1,"","","",6,sedimentology,Graduate Students
1594830490636.json,Null,Hypothesis Supported,Very confident in my conclusion,Correct,1,1,1,Very confident in this conclusion,1,Slightly confident in this conclusion,1,Very confident in this conclusion,0,Moderately confident in this conclusion,29,female,2,0,Field Geoscientist,1,"","","",8,Hydrology,Postdoctoral
1594942395526.json,Alternative,Hypothesis Supported,Not at all confident in my conclusion,Incorrect,1,1,1,Very confident in this conclusion,0,Moderately confident in this conclusion,1,Moderately confident in this conclusion,0,Very confident in this conclusion,31,female,2,1,Computational Geoscientist,1,"","","",10,Surgical Processes / Sedimentology,Industry
1595191404495.json,Null,Hypothesis Supported,Very confident in my conclusion,Correct,1,1,1,Moderately confident in this conclusion,0,Slightly confident in this conclusion,1,Very confident in this conclusion,0,Very confident in this conclusion,28,female,2,1,Field Geoscientist,1,"","","",6,geomorphology,Graduate Students
1595358098258.json,Null,Hypothesis Supported,Moderately confident in my conclusion,Correct,1,1,1,Moderately confident in this conclusion,1,Very confident in this conclusion,1,Moderately confident in this conclusion,1,Moderately confident in this conclusion,42,male,2,0,Field Geoscientist,1,"","","",20,geomorphology,Federal science agency
1595498691209.json,Alternative,Hypothesis Not Supported,Very confident in my conclusion,Correct,1,1,1,Moderately confident in this conclusion,1,Moderately confident in this conclusion,1,Very confident in this conclusion,1,Moderately confident in this conclusion,53,female,2,0,"",1,"","","",14,"",""
1595505290181.json,Alternative,Hypothesis Not Supported,Moderately confident in my conclusion,Correct,1,1,0,Moderately confident in this conclusion,1,Moderately confident in this conclusion,1,Moderately confident in this conclusion,1,Moderately confident in this conclusion,71,male,2,1,other,1,"","","",33,Applied Sedimentology,Government Research
1595515252990.json,Null,Hypothesis Supported,Very confident in my conclusion,Correct,1,1,1,Very confident in this conclusion,0,Slightly confident in this conclusion,1,Very confident in this conclusion,1,Very confident in this conclusion,29,female,2,1,Field Geoscientist,1,"","","",7,biogeochemistry,Graduate Students
1595516644018.json,Alternative,Hypothesis Not Supported,Moderately confident in my conclusion,Correct,1,1,1,Moderately confident in this conclusion,0,Slightly confident in this conclusion,1,Very confident in this conclusion,0,Moderately confident in this conclusion,41,female,2,0,Field Geoscientist,1,"","","",18,oceanography,Associate Professor
1595521002079.json,Alternative,Hypothesis Not Supported,Very confident in my conclusion,Correct,1,1,1,Very confident in this conclusion,0,Slightly confident in this conclusion,1,Very confident in this conclusion,0,Moderately confident in this conclusion,47,female,2,0,Field Geoscientist,1,"","","",26,Physical oceanography,Full Professor
1595521790031.json,Alternative,Hypothesis Not Supported,Very confident in my conclusion,Correct,1,0,1,Very confident in this conclusion,1,Moderately confident in this conclusion,1,Very confident in this conclusion,1,Very confident in this conclusion,64,male,2,0,Field Geoscientist,1,"","","",43,Paleontology,Full Professor
1595613604129.json,Alternative,Hypothesis Not Supported,Moderately confident in my conclusion,Correct,1,1,1,Very confident in this conclusion,1,Moderately confident in this conclusion,1,Moderately confident in this conclusion,1,Slightly confident in this conclusion,35,female,2,0,Field Geoscientist,1,"","","",7,Tectonic geomorphology,Adjunct
1595702725300.json,Alternative,Hypothesis Not Supported,Moderately confident in my conclusion,Correct,1,1,0,Slightly confident in this conclusion,1,Slightly confident in this conclusion,0,Slightly confident in this conclusion,1,Slightly confident in this conclusion,,"",2,0,Computational Geoscientist,1,"","","",2,Ocean,Graduate Students
1595957562195.json,Alternative,Hypothesis Not Supported,Moderately confident in my conclusion,Correct,1,1,1,Moderately confident in this conclusion,1,Moderately confident in this conclusion,1,Very confident in this conclusion,1,Very confident in this conclusion,38,female,2,1,Field Geoscientist,1,"","","",17,"Coastal groundwater dynamics (submarine groundwater discharge, coastal freshwater lens dynamics)",Adjunct
1596256377223.json,Alternative,Hypothesis Supported,Moderately confident in my conclusion,Incorrect,1,1,0,Not at all confident in this conclusion,0,Slightly confident in this conclusion,1,Very confident in this conclusion,0,Very confident in this conclusion,36,female,2,0,other,1,"","","",12,Surface processes,Assistant Professor
1596671816427.json,Null,Hypothesis Supported,Slightly confident in my conclusion,Correct,1,1,0,Slightly confident in this conclusion,1,Slightly confident in this conclusion,0,Not at all confident in this conclusion,1,Slightly confident in this conclusion,41,female,2,0,Field Geoscientist,1,"","","",19,"tectonics, paleoclimatology",Associate Professor
1597503133759.json,Null,Hypothesis Supported,Moderately confident in my conclusion,Correct,1,1,1,Moderately confident in this conclusion,1,Very confident in this conclusion,1,Moderately confident in this conclusion,1,Moderately confident in this conclusion,63,female,2,0,Computational Geoscientist,1,"","","",35,Geophysics,Associate Professor
